id,aid,condition,block,trial,event,stimulus_h,stimulus_s,pd,classification,time,score,human_p,system_p,system_output
2,Student,2,3,4,Orange,0.1591092174770829,-0.8494557878447281,False,Blue,07:26:59.501367,30.0,0.58,0.2,Orange
2,Student,2,3,5,Orange,-1.0490127994738332,-0.3810740378801879,False,Blue,07:27:01.004961,28.0,0.11,0.05,Orange
2,Student,2,3,6,Blue,-0.6787487614103844,1.000014423239482,False,Blue,07:27:02.413172,30.0,0.2,0.66,Blue
2,Student,2,3,7,Orange,0.1812753752018929,-0.904775858520385,False,Blue,07:27:03.842428,28.0,0.59,0.19,Orange
2,Student,2,3,8,Orange,-0.3713361315142138,1.2862285196688243,False,Blue,07:27:05.378389,26.0,0.32,0.86,Blue
2,Student,2,3,9,Orange,0.2889490258049021,-1.2914582612786791,False,Blue,07:27:06.710195,24.0,0.64,0.12,Orange
2,Student,2,3,10,Blue,-0.1758747118940888,0.6301359758068683,False,Blue,07:27:08.223734,26.0,0.41,0.71,Blue
2,Student,2,3,11,Blue,0.83287954808784,1.6487832887306046,False,Blue,07:27:09.667750,28.0,0.84,0.99,Blue
2,Student,2,3,12,Orange,0.3863792345074779,-0.9509690502764928,False,Blue,07:27:12.004350,26.0,0.68,0.24,Orange
2,Student,2,3,13,Blue,1.1061160218030148,0.2129576583776798,False,Blue,07:27:14.203249,28.0,0.9,0.93,Blue
2,Student,2,3,14,Orange,-1.4312743741992402,-2.1847224588244023,False,Blue,07:27:33.269242,26.0,0.05,0.0,Orange
2,Student,2,3,15,Blue,3.9704947511768287,-1.095325261772917,False,Blue,07:27:36.653909,28.0,1.0,1.0,Orange
2,Student,2,3,16,Blue,0.361429716057346,0.3335556988463951,False,Blue,07:27:39.412095,30.0,0.67,0.8,Blue
2,Student,2,3,17,Blue,1.608138056876066,2.3282046036104687,False,Blue,07:27:41.815257,32.0,0.96,1.0,Blue
2,Student,2,3,18,Orange,-1.271396793952717,-0.9008766946594076,False,Blue,07:27:44.377752,30.0,0.07,0.01,Orange
2,Student,2,3,19,Orange,-1.3698983794331436,0.866902660624058,False,Blue,07:27:47.417519,28.0,0.06,0.27,Blue
2,Student,2,3,20,Orange,-0.0298861400349234,0.2675953061464766,False,Blue,07:27:54.012763,26.0,0.49,0.62,Blue
2,Student,2,3,21,Blue,-0.2514019706588033,2.113469735517952,False,Blue,07:27:55.550476,28.0,0.38,0.98,Blue
2,Student,2,3,22,Orange,-0.2226490275515309,-1.5416181166704488,False,Blue,07:27:57.217103,26.0,0.39,0.03,Orange
2,Student,2,3,23,Blue,0.5033895838074911,-0.1257061889372266,False,Blue,07:27:58.495260,28.0,0.73,0.68,Orange
2,Student,2,3,24,Orange,-2.69151048040446,-2.6601079528341147,False,Blue,07:28:00.348353,26.0,0.0,0.0,Orange
2,Student,2,3,25,Orange,0.8952340209772525,-2.194225515159265,False,Blue,07:28:01.687885,24.0,0.86,0.07,Orange
2,Student,2,3,26,Orange,0.8565426169743913,-0.5933493602186728,False,Blue,07:28:03.799818,22.0,0.85,0.63,Orange
2,Student,2,3,27,Blue,0.0599139219599463,0.1844106500023602,False,Blue,07:28:05.156938,24.0,0.53,0.62,Blue
2,Student,2,3,28,Blue,0.3094739908781525,2.2118207138865493,False,Blue,07:28:06.595119,26.0,0.65,0.99,Blue
2,Student,2,3,29,Blue,2.0501213317131044,0.3976470904717711,False,Blue,07:28:08.024362,28.0,0.98,0.99,Blue
2,Student,2,3,30,Blue,1.666203889325049,0.1780647219860133,False,Blue,07:28:09.480579,30.0,0.97,0.98,Blue
